Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q19_W3.2. Seek advice on how to reduce household bills: Which of the following, if any, have you done or do you plan to do as a result of the rising cost of living?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,I am currently doing this,1808,738,1054,257,380,364,348,246,214,636,712,460,691,1117,333,617,332,304,222,950,858,1000,797,1472,48,169,85,24,1015,773,517,361,1570,190,1132,624,1409,375,997,295,403,299,588,1154,601,1206,543
,,0.2,0.17,0.23,0.22,0.26,0.25,0.24,0.18,0.1,0.24,0.25,0.13,0.22,0.19,0.17,0.21,0.18,0.22,0.27,0.19,0.21,0.2,0.21,0.19,0.29,0.24,0.28,0.15,0.18,0.25,0.29,0.23,0.19,0.27,0.21,0.2,0.22,0.16,0.22,0.21,0.23,0.23,0.17,0.22,0.18,0.24,0.15
,,,,a,efi,aefi,aefi,efi,fi,,efi,efi,f,b,,,ac,,acf,abcdfg,a,acf,,,,ae,a,a,,,a,abd,a,,a,,,b,,e,e,e,e,,b,,b,
,I have done this previously but don't anticipate doing it in the future,1009,479,526,206,263,179,145,105,111,469,324,217,391,618,233,331,200,150,95,565,445,501,500,794,26,110,51,25,576,421,258,183,873,101,680,307,786,215,659,233,264,162,254,678,308,677,305
,,0.11,0.11,0.11,0.18,0.18,0.13,0.1,0.08,0.05,0.18,0.11,0.06,0.13,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.13,0.1,0.16,0.15,0.17,0.15,0.1,0.13,0.15,0.12,0.11,0.14,0.12,0.1,0.12,0.09,0.15,0.17,0.15,0.13,0.08,0.13,0.09,0.14,0.08
,,,,,cdefhi,cdefhi,defi,efi,f,,cdefhi,efi,,b,,,,,,,,,,a,,a,a,a,,,a,ad,a,,a,b,,b,,e,de,e,e,,b,,b,
