Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,JRF - Low Income Households - Wave 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q9a_14. Catalogue credit: For each of the following types of debt, please tell us whether it was a new debt for your household in the last six months (since November 2022) or if you already had it before November 2022, and if it has changed in size?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Family equivalized income - main groups,,,Benefits & Pension,,,,Disability,,,Household formation,,,,,Children and adults in HH,,,,,,,,Tenure - main groups,,,,,Tenure - detailed,,,,,,,,Region,,,,,,,,,,,,Age,,,,,,,,Gender,,Ethnicity - main groups,,,,,Ethnicity - detailed,,,,,,,,,,,,,,,,,,Employment - main groups,,,,Employment - detailed,,,,,,,,,,,,Borrowing,,Currently in arrears,,,,,,,,,,,,,,,Gone without at least one essential,,Food insecurity,,,,Lonely,,Occupation/previous occupation,,,,,,,,Low savings,,,,Deductions,,Received a COL payment in last month,
,,Total,1st income quintile,2nd income quintile,3rd income quintile,UC recipients,UC recipients + WTC recipients,Benefits' recipients,Pension recipients,Disabled person in HH,No disabled person in HH,Mental health,Single adult household,2 adults only (no children) household,3+ adults only (no children) household,1 adult only with at least 1 child household,2 adults only with at least 1 child household,No children,Children,1 child,2 children,3 or more children,1 adult,2 or more adults,At least 1 adult and 1 child,Mortgage holder,Renter,Homeowner (with/out mortgage),Social renter,Private renter,Home ownership with a mortgage,Home ownership without a mortgage,Shared ownership (partly paying rent and partly paying mortgage),"Private renting from landlord, living alone or with family/partner","Private renting from landlord, in shared household with other adults not related",Social renting from Local Authority / Council,Social renting from Housing Association,Other type of tenure,Scotland,Wales,Northern Ireland,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,Eastern England,London,South East,South West,18-24,25-34,35-44,45-54,55-64,65+,Net: 18-64 (working age),Net: 65+,Female,Male,White,Mix,Asian,Black,Other,White English / Welsh / Scottish / Northern Irish / British,White Irish,Gypsy or Irish Traveller,Any other White background,Mixed White and Black Caribbean,Mixed White and Black African,Mixed White and Asian,Any other mixed/multiple ethnic background,Indian,Pakistani,Bangladeshi,Chinese,Any other Asian background,Black African,Black Caribbean,Black British or any other Black background,Arab,Any other ethnic group,Working,Not working (actively looking for a job),Retired (fully),Economically inactive (excluding retired),Working full time (Self-Employed or for employer),Working full time for employer,Self-employed full time,Working part time (SE or for employer),Working part time for employer,Self-employed part time,Agency work or temp contract,Zero hour contact,Not working,All adults in household working,No adult in household working,1 but not all adults in work,New/increased borrowing since Nov 2022,Have borrowing,Households in any arrears,Households in arrears with household bills,"Households in arrears with energy bills (water, electricity, gas)",Households in rent arrears,Households in council tax arrears,Household in rent and energy arrears,Household in rent and council tax arrears,Household in council tax and energy arrears,"Household in rent, council tax and energy arrears",Households in arrears with borrowing,Households in arrears or have loans to the state,"Housing arrears (rent, mortgage)",Utility arrears,Personal borrowing arrears,State debt arrears,Yes,No,Cut down on size of or skipped meals often or sometimes,Went hungry often or sometimes,Cut down on size of or skipped meals often,Went hungry often,Felt lonely sometimes,Felt lonely often,"High managerial, admin, prof","Intermediate managerial, admin, prof","Supervisor, admin, prof",Skilled manual,Semi-skilled or unskilled manual,House-wife/husband,Unemployed,Student,,Below £100,Between £101 and £500,£500+,Has benefit deductions,Does not have benefit deductions,Yes,No
,Significance Level: 95%,,a,b,c,a,b,c,d,a,b,c,a,b,c,d,e,a,b,c,d,e,f,g,h,a,b,c,d,e,a,b,c,d,e,f,g,h,a,b,c,d,e,f,g,h,i,j,k,l,a,b,c,d,e,f,g,h,a,b,a,b,c,d,*e,a,b,*c,d,e,f,g,h,i,j,*k,l,m,n,o,*p,*q,*r,a,b,c,d,a,b,c,d,e,f,*g,*h,i,j,k,l,a,b,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,a,b,c,d,a,b,a,b,c,d,e,f,g,h,a,b,c,d,a,b,a,b
,Unweighted Total,4004,1143,1054,1807,806,1002,2279,1463,2153,1804,1296,840,1252,385,326,940,2477,1527,698,577,252,1166,2838,1527,806,1685,2283,901,784,746,1477,60,642,142,527,374,36,330,205,110,225,450,387,301,392,317,447,490,350,353,667,738,597,732,917,3087,917,2253,1746,3286,176,281,222,28,3130,61,6,89,51,35,50,40,109,80,27,32,33,145,58,19,19,9,2232,191,1199,462,1490,1310,181,674,559,118,12,24,311,1724,1454,604,1874,2472,1657,1350,896,300,531,1009,695,1057,1147,1156,2090,430,1084,1183,669,2611,1393,1958,1453,734,541,1705,806,171,728,1073,740,734,131,377,50,442,709,819,1893,676,1538,1113,230
,Total,4004,1001,1001,2002,755,936,2220,1588,2127,1833,1258,892,1334,366,302,866,2593,1411,662,527,222,1195,2809,1411,794,1667,2301,992,675,732,1508,61,553,122,572,420,36,320,200,80,200,480,360,360,360,360,400,521,360,360,601,641,601,721,1081,2923,1081,2119,1880,3354,163,253,197,26,3212,50,6,86,48,30,47,38,100,68,24,30,30,128,50,18,18,8,2138,175,1315,449,1425,1257,169,646,535,114,11,23,292,1649,1556,588,1782,2389,1568,1271,848,283,502,954,656,1001,1086,1087,1994,408,1017,1113,630,2517,1487,1875,1373,690,509,1665,779,160,748,1091,744,729,123,363,46,422,677,782,1982,625,1533,1060,215
,This is a new debt in the last six months (since November 2022),232,80,59,93,58,81,175,63,147,85,83,21,43,28,30,89,92,141,64,52,25,51,182,141,64,109,124,69,40,56,59,8,32,8,49,19,0,22,13,5,16,20,25,21,22,18,37,23,11,27,69,54,44,16,21,211,21,124,109,168,20,20,21,2,161,5,1,2,6,4,8,1,6,11,2,0,1,15,5,1,1,1,178,8,25,24,140,129,11,33,27,6,0,1,11,149,43,26,232,232,173,153,97,29,65,107,81,114,122,135,216,35,124,149,92,207,25,183,160,85,86,103,68,23,48,46,42,44,6,20,3,24,59,88,61,86,86,77,30
