Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q12N.6. I have opportunities to join in with things in my community: Thinking about your local community, to what extent do you agree or disagree with the following statements?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,English region,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,North-West,North-East,Yorkshire & Humberside,West Midlands,East Midlands,South-West,South-East,Eastern,London,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,6241,2812,3396,663,1162,1266,943,1226,981,1825,2209,2207,802,296,623,647,519,675,1019,691,969,2105,4136,1996,2009,1138,681,417,4005,2236,3258,2940,5064,240,446,421,42,4108,2058,1189,992,5627,489,3850,2171,4567,1590,3235,1022,1294,919,2217,3719,2304,3568,2432
,Total,6241,3007,3201,823,1041,1004,1006,961,1406,1864,2010,2367,817,294,612,647,542,640,1027,697,967,2156,4085,1426,2086,1242,933,553,3513,2728,3579,2609,5152,131,557,243,130,4004,2157,1216,1066,5623,486,3806,2198,4476,1669,3109,980,1229,899,2346,3636,2376,3487,2495
,Strongly agree,767,373,391,145,165,123,95,81,160,309,217,241,89,37,67,92,50,78,130,73,150,263,504,214,239,152,108,54,453,314,378,381,567,18,113,49,19,499,262,142,125,692,61,700,59,723,43,596,313,164,120,105,702,61,502,250
,,0.12,0.12,0.12,0.18,0.16,0.12,0.09,0.08,0.11,0.17,0.11,0.1,0.11,0.13,0.11,0.14,0.09,0.12,0.13,0.1,0.16,0.12,0.12,0.15,0.11,0.12,0.12,0.1,0.13,0.12,0.11,0.15,0.11,0.13,0.2,0.2,0.15,0.12,0.12,0.12,0.12,0.12,0.12,0.18,0.03,0.16,0.03,0.19,0.32,0.13,0.13,0.04,0.19,0.03,0.14,0.1
,,,,,cdefhi,cdefhi,de,,,e,cdefhi,e,,,,,eh,,,e,,aceh,,,bcdefg,,,,,,,,a,,,ab,ab,,,,,,,,b,,b,,cde,acde,e,e,,b,,b,
,Tend to agree,2448,1175,1261,291,399,424,393,392,550,689,817,942,317,102,254,224,198,269,439,288,357,696,1751,619,832,509,339,148,1451,997,1339,1097,2035,46,219,89,51,1667,756,400,358,2229,176,1874,513,2068,363,1460,451,613,396,703,1817,581,1469,927
,,0.39,0.39,0.39,0.35,0.38,0.42,0.39,0.41,0.39,0.37,0.41,0.4,0.39,0.35,0.42,0.35,0.37,0.42,0.43,0.41,0.37,0.32,0.43,0.43,0.4,0.41,0.36,0.27,0.41,0.37,0.37,0.42,0.4,0.35,0.39,0.37,0.39,0.42,0.35,0.33,0.34,0.4,0.36,0.49,0.23,0.46,0.22,0.47,0.46,0.5,0.44,0.3,0.5,0.24,0.42,0.37
