Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q25.4. Young people in my community can easily find affordable housing: To what extent do you agree or disagree, if at all, with the following statements about what life is like for young people, aged 16-24, in your local community?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,English region,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,North-West,North-East,Yorkshire & Humberside,West Midlands,East Midlands,South-West,South-East,Eastern,London,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,6241,2812,3396,663,1162,1266,943,1226,981,1825,2209,2207,802,296,623,647,519,675,1019,691,969,2105,4136,1996,2009,1138,681,417,4005,2236,3258,2940,5064,240,446,421,42,4108,2058,1189,992,5627,489,3850,2171,4567,1590,3235,1022,1294,919,2217,3719,2304,3568,2432
,Total,6241,3007,3201,823,1041,1004,1006,961,1406,1864,2010,2367,817,294,612,647,542,640,1027,697,967,2156,4085,1426,2086,1242,933,553,3513,2728,3579,2609,5152,131,557,243,130,4004,2157,1216,1066,5623,486,3806,2198,4476,1669,3109,980,1229,899,2346,3636,2376,3487,2495
,Strongly agree,311,172,137,99,106,49,26,14,16,206,75,30,28,22,29,49,18,24,28,22,92,139,172,79,89,61,58,25,168,143,135,173,177,16,60,34,23,185,121,72,43,264,33,262,45,284,23,255,137,69,49,41,271,31,234,75
,,0.05,0.06,0.04,0.12,0.1,0.05,0.03,0.01,0.01,0.11,0.04,0.01,0.03,0.07,0.05,0.08,0.03,0.04,0.03,0.03,0.09,0.06,0.04,0.06,0.04,0.05,0.06,0.04,0.05,0.05,0.04,0.07,0.03,0.12,0.11,0.14,0.18,0.05,0.06,0.06,0.04,0.05,0.07,0.07,0.02,0.06,0.01,0.08,0.14,0.06,0.05,0.02,0.07,0.01,0.07,0.03
,,,b,,cdefhi,cdefhi,defi,fi,,,cdefhi,efi,,,aefgh,g,acefgh,,,,,acefgh,b,,,,,b,,,,,a,,a,a,a,a,,,d,,,a,b,,b,,cde,acde,e,e,,b,,b,
,Tend to agree,674,395,279,159,177,131,74,54,80,336,204,134,78,25,72,87,57,54,104,47,151,262,412,189,195,145,100,45,384,290,336,330,472,17,120,43,18,464,204,126,78,606,47,517,143,580,92,494,170,200,124,140,523,144,463,202
,,0.11,0.13,0.09,0.19,0.17,0.13,0.07,0.06,0.06,0.18,0.1,0.06,0.1,0.08,0.12,0.14,0.1,0.08,0.1,0.07,0.16,0.12,0.1,0.13,0.09,0.12,0.11,0.08,0.11,0.11,0.09,0.13,0.09,0.13,0.22,0.18,0.14,0.12,0.09,0.1,0.07,0.11,0.1,0.14,0.07,0.13,0.06,0.16,0.17,0.16,0.14,0.06,0.14,0.06,0.13,0.08
,,,b,,cdefhi,cdefhi,defhi,,,,cdefhi,defi,,h,,fh,abfgh,h,,h,,abcefgh,b,,befg,,be,,,,,,a,,a,ab,a,,bd,d,d,,,,b,,b,,e,de,e,e,,b,,b,
