Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q10_1. Anonymously on social media: Compared with 10 years ago (i.e. 2012), do you think women in your country feel more or less comfortable discussing a gender-based crime (e.g. domestic abuse, forced marriage, female genital mutilation) with each of the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Much more comfortable,5240,387,327,490,360,291,424,496,474,199,240,389,354,221,365,221,981,1256,1021,880,631,471,2237,1901,1102,3497,526,359,379,480,1340,3319,758,2560,540
