Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q26.10. A lack of opportunities: Thinking about your local community, what do you see as the main challenges facing young people (aged 16-24) today?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,1,712,335,375,82,97,122,140,111,160,179,262,271,267,445,143,229,161,104,76,371,341,411,294,591,11,62,20,25,461,240,148,112,662,38,436,248,517,183,376,106,147,123,253,415,281,397,289
,,0.08,0.08,0.08,0.07,0.07,0.09,0.1,0.08,0.08,0.07,0.09,0.08,0.09,0.08,0.07,0.08,0.09,0.08,0.09,0.07,0.09,0.08,0.08,0.08,0.06,0.09,0.07,0.16,0.08,0.08,0.08,0.07,0.08,0.05,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.08,0.08,0.08,0.08,0.08
,,,,,,,bg,abgi,,,,abg,,,,,,a,,,,a,,,,,,,abd,,,,,b,,,,,,,,,e,,,,,
,2,713,363,346,91,121,109,126,111,156,211,234,267,253,460,162,211,152,105,83,373,340,402,310,591,12,71,22,13,427,281,151,155,628,67,452,237,509,188,379,115,154,111,234,414,274,428,255
,,0.08,0.08,0.07,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.1,0.08,0.08,0.08,0.08,0.08,0.07,0.1,0.07,0.08,0.07,0.09,0.08,0.1,0.08,0.09,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.09,0.07,0.08,0.08,0.09,0.07
,,,,,,,,,,,,,,,,,,,,bf,,b,,,,,,,,,a,,a,,,,,,,e,,e,e,,,,b,
,3,595,305,288,76,92,97,101,93,135,168,198,228,213,381,123,205,138,68,60,328,267,363,231,509,12,50,15,8,403,188,104,92,547,47,360,218,433,155,303,95,107,101,214,335,234,322,244
,,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.08,0.05,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.05,0.05,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.08,0.06,0.06,0.07,0.06,0.07
