Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q7_W3. Summary: Rank 1 - Thinking about what would benefit your local community, which of the following areas related to the physical environment do you think are most important?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,Safety on the streets,2803,1278,1512,375,484,423,446,463,612,860,869,1075,1039,1764,555,910,578,476,284,1465,1338,1720,1057,2365,52,251,95,31,1803,960,558,475,2540,211,1593,1092,1894,861,1241,353,503,385,1167,1512,1169,1477,1196
,,0.31,0.3,0.33,0.32,0.33,0.3,0.31,0.33,0.3,0.32,0.3,0.31,0.34,0.3,0.28,0.31,0.32,0.35,0.34,0.29,0.33,0.34,0.28,0.31,0.31,0.35,0.31,0.2,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.35,0.29,0.36,0.28,0.25,0.28,0.3,0.35,0.29,0.35,0.3,0.33
,,,,a,,,,,ch,,,,,b,,,a,a,abf,af,,abf,b,,,,e,,,,,,,,,,a,,a,b,,b,b,abcd,,a,,a
,Young people having places to go and things to do,1322,554,760,203,224,228,241,185,242,426,469,427,491,831,277,429,270,233,113,706,616,765,544,1135,25,87,39,30,786,528,305,263,1174,127,785,489,942,363,680,201,279,199,480,773,516,756,520
,,0.15,0.13,0.16,0.17,0.15,0.16,0.17,0.13,0.12,0.16,0.16,0.12,0.16,0.14,0.14,0.14,0.15,0.17,0.14,0.14,0.15,0.15,0.14,0.15,0.15,0.12,0.13,0.19,0.14,0.17,0.17,0.17,0.15,0.18,0.14,0.16,0.15,0.15,0.15,0.14,0.16,0.16,0.14,0.15,0.15,0.15,0.14
,,,,a,efi,fi,efi,efi,,,efi,efi,,b,,,,,abf,,,,,,,,,,,,a,a,a,,a,,,,,,,,,,,,,
