Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q19_W3.15. Use a 'community fridge': Which of the following, if any, have you done or do you plan to do as a result of the rising cost of living?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,English region,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,North-West,North-East,Yorkshire & Humberside,West Midlands,East Midlands,South-West,South-East,Eastern,London,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,6240,2811,3396,663,1161,1266,943,1226,981,1824,2209,2207,802,296,623,647,519,675,1019,691,968,2105,4135,1995,2009,1138,681,417,4004,2236,3258,2939,5064,239,446,421,42,4107,2058,1189,992,5626,489,3849,2171,4566,1590,3234,1022,1293,919,2217,3718,2304,3568,2432
,Total,6241,3006,3201,823,1041,1004,1006,961,1406,1863,2010,2367,817,294,612,647,542,640,1027,697,966,2156,4085,1426,2086,1242,933,553,3512,2728,3579,2609,5152,130,557,243,130,4004,2157,1216,1066,5622,486,3805,2198,4475,1669,3108,980,1229,899,2346,3635,2376,3487,2495
,I am currently doing this,316,139,177,76,74,65,54,20,28,150,119,48,40,19,26,30,39,26,56,19,61,150,167,56,111,48,60,43,166,150,161,153,223,12,51,21,10,159,154,101,72,274,34,230,82,273,42,224,104,72,48,73,237,76,216,93
,,0.05,0.05,0.06,0.09,0.07,0.06,0.05,0.02,0.02,0.08,0.06,0.02,0.05,0.06,0.04,0.05,0.07,0.04,0.05,0.03,0.06,0.07,0.04,0.04,0.05,0.04,0.06,0.08,0.05,0.05,0.04,0.06,0.04,0.09,0.09,0.09,0.08,0.04,0.07,0.08,0.07,0.05,0.07,0.06,0.04,0.06,0.03,0.07,0.11,0.06,0.05,0.03,0.07,0.03,0.06,0.04
